date	weekday	holiday
2018/1/1	2	yuandan
2018/1/2	3	no
2018/1/3	4	no
2018/1/4	5	no
2018/1/5	6	no
2018/1/6	7	no
2018/1/7	1	no
2018/1/8	2	no
2018/1/9	3	no
2018/1/10	4	no
2018/1/11	5	no
2018/1/12	6	no
2018/1/13	7	no
2018/1/14	1	no
2018/1/15	2	no
2018/1/16	3	no
2018/1/17	4	no
2018/1/18	5	no
2018/1/19	6	no
2018/1/20	7	no
2018/1/21	1	no
2018/1/22	2	no
2018/1/23	3	no
2018/1/24	4	no
2018/1/25	5	no
2018/1/26	6	no
2018/1/27	7	no
2018/1/28	1	no
2018/1/29	2	no
2018/1/30	3	no
2018/1/31	4	no
2018/2/1	5	no
2018/2/2	6	no
2018/2/3	7	no
2018/2/4	1	no
2018/2/5	2	no
2018/2/6	3	no
2018/2/7	4	no
2018/2/8	5	no
2018/2/9	6	no
2018/2/10	7	no
2018/2/11	1	no
2018/2/12	2	no
2018/2/13	3	no
2018/2/14	4	no
2018/2/15	5	chunjie
2018/2/16	6	chunjie
2018/2/17	7	chunjie
2018/2/18	1	chunjie
2018/2/19	2	chunjie
2018/2/20	3	chunjie
2018/2/21	4	chunjie
2018/2/22	5	no
2018/2/23	6	no
2018/2/24	7	no
2018/2/25	1	no
2018/2/26	2	no
2018/2/27	3	no
2018/2/28	4	no
2018/3/1	5	no
2018/3/2	6	no
2018/3/3	7	no
2018/3/4	1	no
2018/3/5	2	no
2018/3/6	3	no
2018/3/7	4	no
2018/3/8	5	no
2018/3/9	6	no
2018/3/10	7	no
2018/3/11	1	no
2018/3/12	2	no
2018/3/13	3	no
2018/3/14	4	no
2018/3/15	5	no
2018/3/16	6	no
2018/3/17	7	no
2018/3/18	1	no
2018/3/19	2	no
2018/3/20	3	no
2018/3/21	4	no
2018/3/22	5	no
2018/3/23	6	no
2018/3/24	7	no
2018/3/25	1	no
2018/3/26	2	no
2018/3/27	3	no
2018/3/28	4	no
2018/3/29	5	no
2018/3/30	6	no
2018/3/31	7	no
2018/4/1	1	no
2018/4/2	2	no
2018/4/3	3	no
2018/4/4	4	no
2018/4/5	5	qingming
2018/4/6	6	qingming
2018/4/7	7	qingming
2018/4/8	1	no
2018/4/9	2	no
2018/4/10	3	no
2018/4/11	4	no
2018/4/12	5	no
2018/4/13	6	no
2018/4/14	7	no
2018/4/15	1	no
2018/4/16	2	no
2018/4/17	3	no
2018/4/18	4	no
2018/4/19	5	no
2018/4/20	6	no
2018/4/21	7	no
2018/4/22	1	no
2018/4/23	2	no
2018/4/24	3	no
2018/4/25	4	no
2018/4/26	5	no
2018/4/27	6	no
2018/4/28	7	no
2018/4/29	1	no
2018/4/30	2	no
2018/5/1	3	laodong
2018/5/2	4	no
2018/5/3	5	no
2018/5/4	6	no
2018/5/5	7	no
2018/5/6	1	no
2018/5/7	2	no
2018/5/8	3	no
2018/5/9	4	no
2018/5/10	5	no
2018/5/11	6	no
2018/5/12	7	no
2018/5/13	1	no
2018/5/14	2	no
2018/5/15	3	no
2018/5/16	4	no
2018/5/17	5	no
2018/5/18	6	no
2018/5/19	7	no
2018/5/20	1	no
2018/5/21	2	no
2018/5/22	3	no
2018/5/23	4	no
2018/5/24	5	no
2018/5/25	6	no
2018/5/26	7	no
2018/5/27	1	no
2018/5/28	2	no
2018/5/29	3	no
2018/5/30	4	no
2018/5/31	5	no
2018/6/1	6	no
2018/6/2	7	no
2018/6/3	1	no
2018/6/4	2	no
2018/6/5	3	no
2018/6/6	4	no
2018/6/7	5	no
2018/6/8	6	no
2018/6/9	7	no
2018/6/10	1	no
2018/6/11	2	no
2018/6/12	3	no
2018/6/13	4	no
2018/6/14	5	no
2018/6/15	6	no
2018/6/16	7	no
2018/6/17	1	no
2018/6/18	2	duanwu
2018/6/19	3	no
2018/6/20	4	no
2018/6/21	5	no
2018/6/22	6	no
2018/6/23	7	no
2018/6/24	1	no
2018/6/25	2	no
2018/6/26	3	no
2018/6/27	4	no
2018/6/28	5	no
2018/6/29	6	no
2018/6/30	7	no
2018/7/1	1	no
2018/7/2	2	no
2018/7/3	3	no
2018/7/4	4	no
2018/7/5	5	no
2018/7/6	6	no
2018/7/7	7	no
2018/7/8	1	no
2018/7/9	2	no
2018/7/10	3	no
2018/7/11	4	no
2018/7/12	5	no
2018/7/13	6	no
2018/7/14	7	no
2018/7/15	1	no
2018/7/16	2	no
2018/7/17	3	no
2018/7/18	4	no
2018/7/19	5	no
2018/7/20	6	no
2018/7/21	7	no
2018/7/22	1	no
2018/7/23	2	no
2018/7/24	3	no
2018/7/25	4	no
2018/7/26	5	no
2018/7/27	6	no
2018/7/28	7	no
2018/7/29	1	no
2018/7/30	2	no
2018/7/31	3	no
2018/8/1	4	no
2018/8/2	5	no
2018/8/3	6	no
2018/8/4	7	no
2018/8/5	1	no
2018/8/6	2	no
2018/8/7	3	no
2018/8/8	4	no
2018/8/9	5	no
2018/8/10	6	no
2018/8/11	7	no
2018/8/12	1	no
2018/8/13	2	no
2018/8/14	3	no
2018/8/15	4	no
2018/8/16	5	no
2018/8/17	6	no
2018/8/18	7	no
2018/8/19	1	no
2018/8/20	2	no
2018/8/21	3	no
2018/8/22	4	no
2018/8/23	5	no
2018/8/24	6	no
2018/8/25	7	no
2018/8/26	1	no
2018/8/27	2	no
2018/8/28	3	no
2018/8/29	4	no
2018/8/30	5	no
2018/8/31	6	no
2018/9/1	7	no
2018/9/2	1	no
2018/9/3	2	no
2018/9/4	3	no
2018/9/5	4	no
2018/9/6	5	no
2018/9/7	6	no
2018/9/8	7	no
2018/9/9	1	no
2018/9/10	2	no
2018/9/11	3	no
2018/9/12	4	no
2018/9/13	5	no
2018/9/14	6	no
2018/9/15	7	no
2018/9/16	1	no
2018/9/17	2	no
2018/9/18	3	no
2018/9/19	4	no
2018/9/20	5	no
2018/9/21	6	no
2018/9/22	7	zhongqiu
2018/9/23	1	zhongqiu
2018/9/24	2	zhongqiu
2018/9/25	3	no
